player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Marine Johannes,player_points,10.5,under,-122,draftkings,0.8694,0.5145,0.3549,0.582,0.0,0,1,0.7101,0.1775,1
Marine Johannes,player_points,9.5,under,-104,betonlineag,0.8355,0.4825,0.353,0.6389,0.0,0,2,0.6644,0.1661,1
Cameron Brink,player_rebounds,4.5,under,117,draftkings,0.6989,0.4197,0.2792,0.5166,0.0,0,1,0.4415,0.1104,1
Lauren Betts,player_rebounds,4.5,under,110,fanduel,0.7136,0.442,0.2716,0.4986,0.0,0,3,0.4532,0.1133,1
Cotie McMahon,player_points,7.5,under,-106,fanduel,0.7574,0.5057,0.2517,0.4719,0.0,0,3,0.5002,0.1251,1
Cotie McMahon,player_rebounds,2.5,under,116,fanduel,0.6717,0.427,0.2447,0.4509,0.0,0,3,0.3887,0.0972,1
Han Xu,player_rebounds,3.5,under,-106,fanduel,0.718,0.4788,0.2392,0.3954,0.0,0,1,0.4191,0.1048,1
Pauline Astier,player_assists,4.5,under,-151,draftkings,0.7992,0.5663,0.2329,0.3285,0.0,0,1,0.496,0.124,1
Natisha Hiedeman,player_rebounds,2.5,over,126,betonlineag,0.6432,0.4134,0.2298,0.4536,0.0,0,3,0.36,0.09,1
Pauline Astier,player_assists,3.5,under,110,fanduel,0.6678,0.4457,0.2221,0.4024,0.0,0,2,0.3658,0.0914,1
Lauren Betts,player_points,5.5,under,108,draftkings,0.6521,0.4447,0.2074,0.3564,0.0,0,2,0.33,0.0825,1
Cameron Brink,player_rebounds,5.5,under,-172,fanduel,0.8056,0.6107,0.1949,0.274,0.0,0,2,0.4712,0.1178,1
Angel Reese,player_points,15.5,over,-106,betonlineag,0.6838,0.49,0.1938,0.3289,0.0,0,3,0.3486,0.0872,1
Jewell Loyd,player_points,8.5,under,-118,fanduel,0.7047,0.5113,0.1934,0.3019,0.0,0,2,0.3562,0.0891,1
Jade Melbourne,player_points,9.5,over,-119,betonlineag,0.71,0.5168,0.1932,0.3066,0.0,0,3,0.3649,0.0912,1
Cotie McMahon,player_assists,2.5,under,-196,betonlineag,0.8217,0.6345,0.1872,0.2409,0.0,0,1,0.4722,0.1181,1
Kayla McBride,player_points,15.5,over,-102,fanduel,0.6661,0.481,0.1851,0.3191,0.0,0,3,0.3255,0.0814,1
Jordin Canada,player_points,11.5,over,-104,draftkings,0.6607,0.4819,0.1788,0.296,0.0,0,3,0.3078,0.077,1
Jewell Loyd,player_points,7.5,under,102,draftkings,0.6347,0.4579,0.1768,0.2821,0.0,0,1,0.2766,0.0691,1
Cameron Brink,player_points,7.5,under,-112,draftkings,0.6741,0.509,0.1651,0.276,0.0,0,3,0.3091,0.0773,1
Caitlin Clark,player_points,21.5,over,-117,draftkings,0.6663,0.509,0.1573,0.2358,0.0,0,3,0.2759,0.069,1
Rae Burrell,player_rebounds,2.5,over,136,betonlineag,0.5545,0.3974,0.1571,0.3086,0.0,0,2,0.2269,0.0567,1
Natisha Hiedeman,player_points,14.5,over,-123,betonlineag,0.682,0.5254,0.1566,0.2365,0.0,0,2,0.2909,0.0727,1
Natisha Hiedeman,player_points,15.5,over,-105,draftkings,0.6311,0.4755,0.1556,0.2321,0.0,0,1,0.2438,0.0609,1
